,MKT,SMB,HML,RMW,CMA,MOM,intercept,r_squared
UMBF,0.8090387964396852,0.6591070618318664,0.84667580841397,-0.011763076644273148,-0.3163590314030991,-0.07141428459430892,0.00012183282697525574,0.6194393708077064
UMDD,2.3744765349415777,1.5130739886793552,0.24948055112005876,0.10149358683215906,0.12519273784727242,-0.0971834086609631,-0.0005490559006718186,0.8625969302819723
UMH,0.6374768061051284,0.5309971719482527,0.005752138274807686,0.24994275903727728,0.31403090798313116,-0.176141617848161,1.89859761986628e-05,0.33184876808153296
UMPQ,0.8362385782454054,0.5299677064870252,1.0510543064954316,-0.11403840281800987,-0.6585375137269631,-0.0517230904802999,-0.00033696954789177113,0.6718697479710005
UMX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UN,0.45460290497669453,-0.09157541953718193,-0.06445323622772138,0.054615293553959554,0.45553852239403575,0.06348580136117322,-3.0647247632570075e-05,0.3037126481689345
UNAM,0.12370074831941352,0.18452391964908837,0.10059815838225344,-0.0633377954293279,-0.19584322236770907,0.2072434701195256,-0.002726104471451135,0.004939432171708336
UPV,1.312458761831637,0.14821985764683504,0.09074967317040998,-0.07067816275636396,0.2462353377826001,-0.14213421195543088,-0.00021335135655311722,0.6115777447153667
URE,1.2548547535376338,0.20942197779592878,-0.13732357227314665,0.047198963335040804,0.6110044035939931,-0.33838405519744413,-0.0003550262291311051,0.4991951640677308
URI,1.290165745889599,0.8466926339463495,0.41275976567260214,0.3410736336913953,-0.11607905370680353,-0.018309505410349994,0.00035345352494534467,0.5724256603193374
URS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URTH,0.7348576221921392,-0.004963602728049973,-0.03228354830840559,-0.009550665701891205,0.043605117397309226,-0.039435263880123306,-7.724243570363209e-07,0.8704655551234413
URTY,2.4738767978845067,2.4840637904132596,-0.06359382759747169,-0.36472577764077846,0.18162393675330116,-0.05203801718955776,-0.0007455546668214156,0.9173037978465504
USA,0.7810438296807835,0.055557296746818245,-0.008415759482040349,-0.0643868700673117,0.051052671410465794,-0.060356807512117104,-0.00024184289775151682,0.5954899225426113
USAC,0.6658114388534186,0.21790565192508468,0.6090789118401068,-0.353918893345197,-0.046922269586902904,-0.05335045054097748,0.00027451431682792767,0.2530208835377853
USAK,0.90115554708837,1.1530479102027467,0.17681839818278375,0.44091115533097125,-0.1959145383827406,0.17568125959847733,-6.217482949229743e-05,0.21730172663944436
USAP,0.6309847578373893,0.7899761806281468,0.28676016116051434,-0.0885459375850607,-0.07814304848649846,-0.01566852236954769,0.0001715189462290686,0.15336697939541288
USB,0.8104503314087006,0.06285597223480406,0.9641335863500698,-0.27224904804394795,-0.26532968929391937,-0.13564697761450173,-0.00022985564822994674,0.6449746709598944
VNO,0.8610402697602357,0.6320333285452944,0.3327159332341899,0.033315824744049205,0.28672034652253275,-0.3182038936842782,-0.0006884350143694472,0.4305660291783757
VNQ,0.6314296934802175,0.15978174406713497,-0.058250442156628515,0.028922632998520457,0.30340372434419005,-0.1701493937751497,-0.00013242273960692905,0.5074975805039961
VNQI,0.4742741163383406,0.08288767841007814,0.016741003755976723,-0.09078170180196232,0.1122182116610989,-0.10406849758236099,-0.0003281815049854662,0.45601262407341747
VNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNTV,3.70441743781286,-4.3768655942128465,2.2025646157025616,1.7954733924174435,5.6127548089011,-0.5576181593960794,-0.01561778413393357,0.9365570055791158
VO,0.769527877225089,0.1945115616180141,-0.002165796271922685,-0.09899310509057745,0.0021148226271863173,-0.04658762669473512,2.1674843070240087e-05,0.8652272081193021
VOCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOD,0.5978400729089834,0.058771755283253006,0.27083736250588125,-0.008561701487766688,0.16605144489703672,-0.08169588358106612,-0.0008553827111376169,0.2582659512134545
VOE,0.7259321965428932,0.19878705495086252,0.20288936830998996,0.015300854638217133,0.17761380770454455,-0.08522924125981461,-2.203211085764668e-05,0.8331420010519928
VOLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VONE,0.7690080509825087,0.0030733116189160183,-0.06585062143593569,0.007209092104239163,-0.010427467251047567,-0.029850632068813467,7.164660273773354e-05,0.8920531782730389
VONG,0.8904814555345882,-0.04559390935902046,-0.29653625081489354,0.05142545335713626,-0.12936684676035706,0.02304960467076586,8.009255145692746e-05,0.9040832731790398
VONV,0.6870960893007239,0.047214294095714336,0.19250129648065412,-0.04591727654853563,0.148215189269632,-0.0847237002112499,-3.1231404313873234e-05,0.84442847302946
VOO,0.7757858285721696,-0.046640008808146845,-0.05892245230383225,0.04270368721478922,0.02523452802964925,-0.038048986711959484,6.031762613831211e-05,0.8915121621327122
VOOG,0.8741179303302601,-0.08099126920713577,-0.2659238981576383,0.09084529595589261,-0.07822162558646759,0.0028616167989169014,5.63882632865628e-05,0.894577769398968
VOOV,0.6683977502349419,0.007911526142978517,0.1846498908847738,-0.016157990628744314,0.12898530339416026,-0.09258000875759226,3.45065883939678e-05,0.826272064876516
VOT,0.8280526595930646,0.18886792442361358,-0.20845501702057073,-0.20397227481618233,-0.1607066245584192,-0.013006864205924734,7.947513545103496e-05,0.8801697541921027
VOX,0.7613510925079306,0.03545038650850601,-0.17933161245736906,-0.016989716710671163,-0.20410199037581214,-0.09232999810631012,-5.880362393877363e-05,0.7381013069466953
VOXX,0.8249879466863828,1.0013937829466741,-0.14906311396542196,-0.34880542166110967,0.09036773332196331,0.16119519511975874,-0.00041275011145188204,0.15429272982849518
VOYA,0.8963280962198225,-0.018691018806078756,0.7143155898928741,-0.1726267515236516,-0.1909282563432367,-0.07248264278001826,-7.589930193556904e-05,0.5781229306143243
VPFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPG,0.7436023382105973,1.0098257303526672,0.05881964594857814,0.29209707881703545,0.17389446057852245,0.02275010593187558,-0.00032411782006464934,0.3921664018918034
VPHM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPL,0.6029329998823885,0.06153151053902659,0.023378058662013722,-0.04285619855560426,0.08288890828781838,-0.04371223337393296,-0.00026319716376980843,0.6099180046255723
VPRT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPU,0.46705334731053366,-0.13609955661741524,-0.006233125297800553,0.01686140707684537,0.48465917359986294,-0.12561717282488866,-5.3417851109135115e-05,0.30065215234773535
VPV,0.11899681919291318,0.03729959133622695,-0.042102992521064496,-0.06690108384109736,0.0574725302362108,-0.009374986632941128,-8.269732751661792e-05,0.08013300233020215
VR,0.6322358032875757,-0.006251484600597381,-0.017623232704418932,-0.2602608223081228,-0.4869082732759428,-0.26588184059918085,-0.00025516543798343637,0.6168728317391907
VRA,0.9002075268825949,1.3729532762336756,0.14930550092951236,0.7056427863871758,-0.0152923748673544,-0.2881007456471132,-0.0009250490035666262,0.3458042981499778
VRD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRNT,0.8433179413050319,0.5612597901032345,-0.12151557969692751,-0.2077176151150321,0.052638176246820344,-0.026454083944699752,-0.00029529949149505836,0.4259483249540801
VRS,0.9457649700926529,0.9791312045447635,0.2194773564408429,0.6206360217312265,-0.26354262840370274,-0.0626704854682895,-9.484441974454453e-05,0.34271529717200766
VRSK,0.6637065080929452,-0.1446702869249581,-0.2320871074566268,0.18498225400169452,0.04892097075583724,-0.01327221861479285,0.00034061155187776825,0.4447229742312019
VRSN,0.7718300185625829,-0.08245709385864756,-0.3697303559935896,0.05220573214079755,0.054478914648441706,0.0017348838258943165,-0.00016794462380233715,0.5030291154566509
VRTS,1.0645297796504245,0.6010538127370412,0.3986396112108311,-0.0881868044294405,-0.44485825060450124,-0.13560047203093203,-3.154197154266743e-05,0.5328991343037172
