estimator,portfolio,regime,vaR95,es95,violation_rate,realised_es
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
baseline,ew,calm,,,0.0,
baseline,mv,calm,,,0.0,
sample,ew,calm,,,0.0,
sample,mv,calm,,,0.0,
overlay,ew,calm,,,0.0,
overlay,mv,calm,,,0.0,
